Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 2113

Speaker Name                                  | Duration (hours)
spk_sp_ar_1011                                   |           0.00
spk_sp_en_310                                    |           0.00
spk_sp_ar_1476                                   |           0.00
spk_sp_ar_645                                    |           0.00
spk_sp_ar_64                                     |           0.00
spk_sp_ar_1636                                   |           0.00
spk_sp_ar_1662                                   |           0.00
spk_sp_ar_715                                    |           0.00
spk_sp_en_13                                     |           0.00
spk_sp_ar_616                                    |           0.00
spk_sp_ar_358                                    |           0.00
spk_sp_ar_1049                                   |           0.00
spk_sp_ar_900                                    |           0.00
spk_sp_ar_981                                    |           0.00
spk_sp_ar_298                                    |           0.00
spk_sp_en_171                                    |           0.00
spk_sp_ar_83                                     |           0.00
spk_sp_ar_187                                    |           0.00
spk_sp_ar_854                                    |           0.00
spk_sp_ar_421                                    |           0.00
spk_sp_ar_19                                     |           0.00
spk_sp_ar_654                                    |           0.00
spk_sp_en_75                                     |           0.00
spk_sp_ar_1631                                   |           0.00
spk_sp_ar_852                                    |           0.00
spk_sp_ar_1614                                   |           0.00
spk_sp_en_215                                    |           0.00
spk_sp_en_61                                     |           0.00
spk_sp_en_84                                     |           0.00
spk_sp_ar_325                                    |           0.00
spk_sp_en_239                                    |           0.00
spk_sp_ar_1487                                   |           0.00
spk_sp_ar_183                                    |           0.00
spk_sp_ar_417                                    |           0.00
spk_sp_ar_302                                    |           0.00
spk_sp_en_350                                    |           0.00
spk_sp_ar_105                                    |           0.00
spk_sp_ar_159                                    |           0.00
spk_sp_ar_1238                                   |           0.00
spk_sp_ar_558                                    |           0.00
spk_sp_ar_541                                    |           0.00
spk_sp_en_266                                    |           0.00
spk_sp_en_208                                    |           0.00
spk_sp_en_90                                     |           0.00
spk_sp_en_70                                     |           0.00
spk_sp_ar_867                                    |           0.00
spk_sp_ar_1549                                   |           0.00
spk_sp_en_37                                     |           0.00
spk_sp_ar_65                                     |           0.00
spk_sp_en_46                                     |           0.00
spk_sp_en_11                                     |           0.00
spk_sp_ar_1243                                   |           0.00
spk_sp_ar_1370                                   |           0.00
spk_sp_en_383                                    |           0.00
spk_sp_ar_1094                                   |           0.00
spk_sp_en_375                                    |           0.00
spk_sp_ar_82                                     |           0.00
spk_sp_ar_355                                    |           0.00
spk_sp_ar_517                                    |           0.00
spk_sp_en_210                                    |           0.00
spk_sp_ar_262                                    |           0.00
spk_sp_ar_626                                    |           0.00
spk_sp_en_319                                    |           0.00
spk_sp_en_86                                     |           0.00
spk_sp_ar_442                                    |           0.00
spk_sp_ar_209                                    |           0.00
spk_sp_en_240                                    |           0.00
spk_sp_ar_336                                    |           0.00
spk_sp_en_276                                    |           0.00
spk_sp_en_25                                     |           0.00
spk_sp_ar_1260                                   |           0.00
spk_sp_ar_863                                    |           0.00
spk_sp_en_136                                    |           0.00
spk_sp_ar_42                                     |           0.00
spk_sp_ar_529                                    |           0.00
spk_sp_ar_963                                    |           0.00
spk_sp_ar_293                                    |           0.00
spk_sp_ar_1490                                   |           0.00
spk_sp_en_436                                    |           0.00
spk_sp_ar_1287                                   |           0.00
spk_sp_ar_802                                    |           0.00
spk_sp_ar_610                                    |           0.00
spk_sp_ar_296                                    |           0.00
spk_sp_ar_1423                                   |           0.00
spk_sp_en_66                                     |           0.00
spk_sp_ar_476                                    |           0.00
spk_sp_en_317                                    |           0.00
spk_sp_en_399                                    |           0.00
spk_sp_en_109                                    |           0.00
spk_sp_ar_29                                     |           0.00
spk_sp_ar_877                                    |           0.00
spk_sp_en_161                                    |           0.00
spk_sp_en_387                                    |           0.00
spk_sp_ar_956                                    |           0.00
spk_sp_ar_148                                    |           0.00
spk_sp_ar_36                                     |           0.00
spk_sp_en_472                                    |           0.00
spk_sp_ar_746                                    |           0.00
spk_sp_ar_1291                                   |           0.00
spk_sp_en_97                                     |           0.00
spk_sp_en_447                                    |           0.00
spk_sp_ar_1008                                   |           0.00
spk_sp_ar_49                                     |           0.00
spk_sp_ar_3                                      |           0.00
spk_sp_en_26                                     |           0.00
spk_sp_en_321                                    |           0.00
spk_sp_ar_772                                    |           0.00
spk_sp_en_111                                    |           0.00
spk_sp_ar_858                                    |           0.00
spk_sp_en_87                                     |           0.00
spk_sp_en_40                                     |           0.00
spk_sp_ar_1281                                   |           0.00
spk_sp_ar_699                                    |           0.00
spk_sp_ar_650                                    |           0.00
spk_sp_en_211                                    |           0.00
spk_sp_en_60                                     |           0.00
spk_sp_en_242                                    |           0.00
spk_sp_ar_796                                    |           0.00
spk_sp_ar_1293                                   |           0.00
spk_sp_ar_1278                                   |           0.00
spk_sp_ar_1725                                   |           0.00
spk_sp_ar_721                                    |           0.00
spk_sp_ar_1110                                   |           0.00
spk_sp_ar_1106                                   |           0.00
spk_sp_ar_864                                    |           0.00
spk_sp_ar_821                                    |           0.00
spk_sp_en_188                                    |           0.00
spk_sp_ar_1195                                   |           0.00
spk_sp_ar_811                                    |           0.00
spk_sp_ar_974                                    |           0.00
spk_sp_ar_1192                                   |           0.00
spk_sp_ar_189                                    |           0.00
spk_sp_en_186                                    |           0.00
spk_sp_en_228                                    |           0.00
spk_sp_en_33                                     |           0.00
spk_sp_ar_632                                    |           0.00
spk_sp_ar_736                                    |           0.00
spk_sp_ar_288                                    |           0.00
spk_sp_ar_386                                    |           0.00
spk_sp_ar_613                                    |           0.00
spk_sp_ar_383                                    |           0.00
spk_sp_en_344                                    |           0.00
spk_sp_ar_185                                    |           0.00
spk_sp_ar_38                                     |           0.00
spk_sp_en_175                                    |           0.00
spk_sp_ar_1378                                   |           0.00
spk_sp_ar_178                                    |           0.00
spk_sp_ar_580                                    |           0.00
spk_sp_ar_1086                                   |           0.00
spk_sp_ar_883                                    |           0.00
spk_sp_ar_330                                    |           0.00
spk_sp_ar_1009                                   |           0.00
spk_sp_ar_1057                                   |           0.00
spk_sp_ar_1275                                   |           0.00
spk_sp_ar_1750                                   |           0.00
spk_sp_ar_1422                                   |           0.00
spk_sp_en_95                                     |           0.00
spk_sp_en_253                                    |           0.00
spk_sp_ar_1103                                   |           0.00
spk_sp_ar_81                                     |           0.00
spk_sp_ar_235                                    |           0.00
spk_sp_ar_1615                                   |           0.00
spk_sp_ar_1624                                   |           0.00
spk_sp_ar_1414                                   |           0.00
spk_sp_en_393                                    |           0.00
spk_sp_ar_104                                    |           0.00
spk_sp_ar_207                                    |           0.00
spk_sp_en_122                                    |           0.00
spk_sp_ar_405                                    |           0.00
spk_sp_ar_97                                     |           0.00
spk_sp_en_245                                    |           0.00
spk_sp_ar_101                                    |           0.00
spk_sp_ar_1232                                   |           0.00
spk_sp_ar_1131                                   |           0.00
spk_sp_ar_66                                     |           0.00
spk_sp_ar_134                                    |           0.00
spk_sp_ar_1113                                   |           0.00
spk_sp_ar_52                                     |           0.00
spk_sp_en_65                                     |           0.00
spk_sp_ar_893                                    |           0.00
spk_sp_ar_1539                                   |           0.00
spk_sp_ar_294                                    |           0.00
spk_sp_ar_568                                    |           0.00
spk_sp_ar_1085                                   |           0.00
spk_sp_ar_313                                    |           0.00
spk_sp_ar_576                                    |           0.00
spk_sp_ar_1089                                   |           0.00
spk_sp_ar_1024                                   |           0.00
spk_sp_en_183                                    |           0.00
spk_sp_en_267                                    |           0.00
spk_sp_en_170                                    |           0.00
spk_sp_en_331                                    |           0.00
spk_sp_ar_357                                    |           0.00
spk_sp_ar_913                                    |           0.00
spk_sp_ar_304                                    |           0.00
spk_sp_ar_1099                                   |           0.00
spk_sp_ar_856                                    |           0.00
spk_sp_ar_543                                    |           0.00
spk_sp_ar_182                                    |           0.00
spk_sp_en_3                                      |           0.00
spk_sp_en_421                                    |           0.00
spk_sp_ar_1682                                   |           0.00
spk_sp_ar_1153                                   |           0.00
spk_sp_ar_1256                                   |           0.00
spk_sp_en_349                                    |           0.00
spk_sp_en_329                                    |           0.00
spk_sp_ar_1181                                   |           0.00
spk_sp_ar_54                                     |           0.00
spk_sp_en_251                                    |           0.00
spk_sp_en_385                                    |           0.00
spk_sp_ar_123                                    |           0.00
spk_sp_ar_301                                    |           0.00
spk_sp_ar_1296                                   |           0.00
spk_sp_ar_748                                    |           0.00
spk_sp_ar_282                                    |           0.00
spk_sp_ar_107                                    |           0.00
spk_sp_ar_729                                    |           0.00
spk_sp_en_408                                    |           0.00
spk_sp_ar_1310                                   |           0.00
spk_sp_ar_646                                    |           0.00
spk_sp_ar_1030                                   |           0.00
spk_sp_ar_1346                                   |           0.00
spk_sp_ar_465                                    |           0.00
spk_sp_en_64                                     |           0.00
spk_sp_ar_259                                    |           0.00
spk_sp_en_222                                    |           0.00
spk_sp_ar_1512                                   |           0.00
spk_sp_ar_1780                                   |           0.00
spk_sp_en_74                                     |           0.00
spk_sp_ar_661                                    |           0.00
spk_sp_ar_425                                    |           0.00
spk_sp_ar_1007                                   |           0.00
spk_sp_ar_1436                                   |           0.00
spk_sp_ar_901                                    |           0.00
spk_sp_ar_1133                                   |           0.00
spk_sp_ar_1690                                   |           0.00
spk_sp_ar_87                                     |           0.00
spk_sp_ar_1590                                   |           0.00
spk_sp_ar_1359                                   |           0.00
spk_sp_ar_234                                    |           0.00
spk_sp_ar_1194                                   |           0.00
spk_sp_ar_1418                                   |           0.00
spk_sp_en_279                                    |           0.00
spk_sp_ar_158                                    |           0.00
spk_sp_en_92                                     |           0.00
spk_sp_en_209                                    |           0.00
spk_sp_ar_1032                                   |           0.00
spk_sp_ar_705                                    |           0.00
spk_sp_ar_110                                    |           0.00
spk_sp_en_354                                    |           0.00
spk_sp_ar_163                                    |           0.00
spk_sp_ar_1122                                   |           0.00
spk_sp_ar_1529                                   |           0.00
spk_sp_en_169                                    |           0.00
spk_sp_en_269                                    |           0.00
spk_sp_ar_990                                    |           0.00
spk_sp_ar_241                                    |           0.00
spk_sp_ar_418                                    |           0.00
spk_sp_ar_830                                    |           0.00
spk_sp_en_110                                    |           0.00
spk_sp_ar_567                                    |           0.00
spk_sp_ar_1212                                   |           0.00
spk_sp_ar_395                                    |           0.00
spk_sp_ar_102                                    |           0.00
spk_sp_ar_437                                    |           0.00
spk_sp_en_196                                    |           0.00
spk_sp_en_490                                    |           0.00
spk_sp_en_338                                    |           0.00
spk_sp_ar_233                                    |           0.00
spk_sp_ar_999                                    |           0.00
spk_sp_en_121                                    |           0.00
spk_sp_ar_285                                    |           0.00
spk_sp_ar_1328                                   |           0.00
spk_sp_ar_1193                                   |           0.00
spk_sp_ar_784                                    |           0.00
spk_sp_ar_582                                    |           0.00
spk_sp_ar_9                                      |           0.00
spk_sp_en_50                                     |           0.00
spk_sp_ar_861                                    |           0.00
spk_sp_ar_121                                    |           0.00
spk_sp_ar_461                                    |           0.00
spk_sp_ar_998                                    |           0.00
spk_sp_en_379                                    |           0.00
spk_sp_ar_810                                    |           0.00
spk_sp_en_151                                    |           0.00
spk_sp_ar_230                                    |           0.00
spk_sp_ar_1244                                   |           0.00
spk_sp_ar_139                                    |           0.00
spk_sp_ar_1202                                   |           0.00
spk_sp_en_420                                    |           0.00
spk_sp_en_434                                    |           0.00
spk_sp_ar_1100                                   |           0.00
spk_sp_ar_1248                                   |           0.00
spk_sp_ar_1325                                   |           0.00
spk_sp_ar_1466                                   |           0.00
spk_sp_ar_1755                                   |           0.00
spk_sp_ar_331                                    |           0.00
spk_sp_en_180                                    |           0.00
spk_sp_ar_732                                    |           0.00
spk_sp_ar_743                                    |           0.00
spk_sp_ar_5                                      |           0.00
spk_sp_ar_378                                    |           0.00
spk_sp_ar_1305                                   |           0.00
spk_sp_en_69                                     |           0.00
spk_sp_ar_1568                                   |           0.00
spk_sp_en_154                                    |           0.00
spk_sp_ar_1274                                   |           0.00
spk_sp_en_293                                    |           0.00
spk_sp_ar_949                                    |           0.00
spk_sp_en_369                                    |           0.00
spk_sp_ar_1543                                   |           0.00
spk_sp_ar_836                                    |           0.00
spk_sp_ar_1646                                   |           0.00
spk_sp_ar_350                                    |           0.00
spk_sp_ar_376                                    |           0.00
spk_sp_ar_1028                                   |           0.00
spk_sp_ar_564                                    |           0.00
spk_sp_ar_460                                    |           0.00
spk_sp_ar_364                                    |           0.00
spk_sp_ar_1652                                   |           0.00
spk_sp_ar_849                                    |           0.00
spk_sp_en_103                                    |           0.00
spk_sp_ar_511                                    |           0.00
spk_sp_ar_387                                    |           0.00
spk_sp_ar_136                                    |           0.00
spk_sp_en_199                                    |           0.00
spk_sp_ar_220                                    |           0.00
spk_sp_en_450                                    |           0.00
spk_sp_ar_904                                    |           0.00
spk_sp_ar_466                                    |           0.00
spk_sp_ar_1220                                   |           0.00
spk_sp_ar_1105                                   |           0.00
spk_sp_ar_595                                    |           0.00
spk_sp_ar_1288                                   |           0.00
spk_sp_ar_952                                    |           0.00
spk_sp_en_468                                    |           0.00
spk_sp_ar_597                                    |           0.00
spk_sp_ar_1449                                   |           0.00
spk_sp_ar_1379                                   |           0.00
spk_sp_en_160                                    |           0.00
