Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 513

Speaker Name                                  | Duration (hours)
spk_en_el_v2_148                                 |           0.05
spk_en_el_v2_385                                 |           0.05
spk_en_el_v2_31                                  |           0.05
spk_en_el_v2_412                                 |           0.05
spk_en_el_v2_191                                 |           0.05
spk_en_el_v2_457                                 |           0.05
spk_en_el_v2_211                                 |           0.05
spk_en_el_v2_380                                 |           0.05
spk_en_el_v2_190                                 |           0.05
spk_en_el_v2_365                                 |           0.05
spk_en_el_v2_401                                 |           0.05
spk_en_el_v2_110                                 |           0.05
spk_en_el_v2_432                                 |           0.05
spk_en_el_v2_57                                  |           0.05
spk_en_el_v2_68                                  |           0.05
spk_en_el_v2_379                                 |           0.05
spk_en_el_v2_287                                 |           0.05
spk_en_el_v2_102                                 |           0.05
spk_en_el_v2_410                                 |           0.05
spk_en_el_v2_368                                 |           0.05
spk_en_el_v2_193                                 |           0.05
spk_en_el_v2_124                                 |           0.05
spk_en_el_v2_459                                 |           0.05
spk_en_el_v2_420                                 |           0.05
spk_en_el_v2_418                                 |           0.05
spk_en_el_v2_381                                 |           0.05
spk_en_el_v2_230                                 |           0.05
spk_en_el_v2_320                                 |           0.05
spk_en_el_v2_350                                 |           0.05
spk_en_el_v2_349                                 |           0.05
spk_en_el_v2_119                                 |           0.05
spk_en_el_v2_286                                 |           0.05
spk_en_el_v2_249                                 |           0.05
spk_en_el_v2_426                                 |           0.05
spk_en_el_v2_389                                 |           0.05
spk_en_el_v2_386                                 |           0.05
spk_en_el_v2_194                                 |           0.05
spk_en_el_v2_233                                 |           0.05
spk_en_el_v2_289                                 |           0.05
spk_en_el_v2_396                                 |           0.05
spk_en_el_v2_423                                 |           0.05
spk_en_el_v2_462                                 |           0.05
spk_en_el_v2_409                                 |           0.05
spk_en_el_v2_35                                  |           0.05
spk_en_el_v2_393                                 |           0.05
spk_en_el_v2_236                                 |           0.05
spk_en_el_v2_271                                 |           0.05
spk_en_el_v2_301                                 |           0.05
spk_en_el_v2_291                                 |           0.05
spk_en_el_v2_123                                 |           0.04
spk_en_el_v2_189                                 |           0.04
spk_en_el_v2_372                                 |           0.04
spk_en_el_v2_192                                 |           0.04
spk_en_el_v2_408                                 |           0.04
spk_en_el_v2_125                                 |           0.04
spk_en_el_v2_456                                 |           0.04
spk_en_el_v2_134                                 |           0.04
spk_en_el_v2_209                                 |           0.04
spk_en_el_v2_403                                 |           0.04
spk_en_el_v2_244                                 |           0.04
spk_en_el_v2_256                                 |           0.04
spk_en_el_v2_469                                 |           0.04
spk_en_el_v2_222                                 |           0.04
spk_en_el_v2_416                                 |           0.04
spk_en_el_v2_338                                 |           0.04
spk_en_el_v2_108                                 |           0.04
spk_en_el_v2_215                                 |           0.04
spk_en_el_v2_439                                 |           0.04
spk_en_el_v2_310                                 |           0.04
spk_en_el_v2_232                                 |           0.04
spk_en_el_v2_445                                 |           0.04
spk_en_el_v2_86                                  |           0.04
spk_en_el_v2_307                                 |           0.04
spk_en_el_v2_440                                 |           0.04
spk_en_el_v2_377                                 |           0.04
spk_en_el_v2_69                                  |           0.04
spk_en_el_v2_431                                 |           0.04
spk_en_el_v2_84                                  |           0.04
spk_en_el_v2_98                                  |           0.04
spk_en_el_v2_304                                 |           0.04
spk_en_el_v2_395                                 |           0.04
spk_en_el_v2_290                                 |           0.04
spk_en_el_v2_326                                 |           0.04
spk_en_el_v2_217                                 |           0.04
spk_en_el_v2_311                                 |           0.04
spk_en_el_v2_323                                 |           0.04
spk_en_el_v2_376                                 |           0.04
spk_en_el_v2_400                                 |           0.04
spk_en_el_v2_175                                 |           0.04
spk_en_el_v2_394                                 |           0.04
spk_en_el_v2_419                                 |           0.04
spk_en_el_v2_407                                 |           0.04
spk_en_el_v2_356                                 |           0.04
spk_en_el_v2_392                                 |           0.04
spk_en_el_v2_103                                 |           0.04
spk_en_el_v2_375                                 |           0.04
spk_en_el_v2_313                                 |           0.04
