Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 932

Speaker Name                                  | Duration (hours)
jony_en_vo                                       |           0.06
mono_ml_23                                       |           0.06
cwadevo_en_vo                                    |           0.06
marx_en_vo                                       |           0.06
jonden_en_vo                                     |           0.06
mono_ml_1                                        |           0.06
ar_vo_546                                        |           0.06
mono_ml_5                                        |           0.05
mono_ml_20                                       |           0.05
bie_en_vo                                        |           0.05
ar_vo_640                                        |           0.05
ar_vo_44                                         |           0.05
ar_vo_30                                         |           0.05
ar_vo_613                                        |           0.05
isabell_en_vo                                    |           0.05
denver_en_vo                                     |           0.05
ar_vo_295                                        |           0.05
ar_vo_566                                        |           0.05
claire_en_vo                                     |           0.05
spk_ar_el_v3_0                                   |           0.00
spk_ar_el_v3_1                                   |           0.00
spk_ar_el_v3_2                                   |           0.00
spk_ar_el_v3_3                                   |           0.00
spk_ar_el_v3_4                                   |           0.00
spk_ar_el_v3_5                                   |           0.00
spk_ar_el_v3_6                                   |           0.00
spk_ar_el_v3_7                                   |           0.00
spk_ar_el_v3_8                                   |           0.00
spk_ar_el_v3_9                                   |           0.00
spk_ar_el_v3_10                                  |           0.00
spk_ar_el_v3_11                                  |           0.00
spk_ar_el_v3_12                                  |           0.00
spk_ar_el_v3_13                                  |           0.00
spk_ar_el_v3_14                                  |           0.00
spk_ar_el_v3_15                                  |           0.00
spk_ar_el_v3_16                                  |           0.00
spk_ar_el_v3_17                                  |           0.00
spk_ar_el_v3_18                                  |           0.00
spk_ar_el_v3_19                                  |           0.00
spk_ar_el_v3_20                                  |           0.00
spk_ar_el_v3_21                                  |           0.00
spk_ar_el_v3_22                                  |           0.00
spk_ar_el_v3_23                                  |           0.00
spk_ar_el_v3_24                                  |           0.00
spk_ar_el_v3_25                                  |           0.00
spk_ar_el_v3_26                                  |           0.00
spk_ar_el_v3_27                                  |           0.00
spk_ar_el_v3_28                                  |           0.00
spk_ar_el_v3_29                                  |           0.00
spk_ar_el_v3_30                                  |           0.00
spk_ar_el_v3_31                                  |           0.00
spk_ar_el_v3_32                                  |           0.00
spk_ar_el_v3_33                                  |           0.00
spk_ar_el_v3_34                                  |           0.00
spk_ar_el_v3_35                                  |           0.00
spk_ar_el_v3_36                                  |           0.00
spk_ar_el_v3_37                                  |           0.00
spk_ar_el_v3_38                                  |           0.00
spk_ar_el_v2_0                                   |           0.00
